15
ENST00000259523	53	5096	5096	1	3	0	0
ENST00000641252	92	436	5096	1	1	3	0
ENST00000517291	138	3391	5096	1	3	4	0
ENST00000651626	278	6053	5096	1	3	7	0
ENST00000641036	665	1231	6053	1	1	10	0
ENST00000377970	703	6053	6053	1	3	11	0
ENST00000524013	839	5991	6053	1	3	14	0
ENST00000520751	850	3094	6053	1	2	17	0
ENST00000621592	850	7570	6053	1	3	19	0
ENST00000707113	1577	6053	7570	1	3	22	0
ENST00000652288	2240	6053	7570	1	3	25	0
ENST00000707114	2343	6053	7570	1	3	28	0
ENST00000707115	2356	6053	7570	1	2	31	0
ENST00000707116	2364	6053	7570	1	3	33	0
ENST00000707117	3692	6053	7570	1	2	36	0
